Date,Open,High,Low,Close,Volume,OpenInt
2/25/2005,19.065,19.416,19.065,19.416,72019,0
2/28/2005,20.172,20.172,19.312,19.38,101346,0
3/1/2005,19.798,19.798,19.209,19.268,53671,0
3/2/2005,19.109,19.195,19.042,19.16,23894,0
3/3/2005,19.744,19.744,19.127,19.187,28870,0
3/4/2005,19.695,19.695,19.294,19.362,20584,0
3/7/2005,19.798,20.118,19.389,19.432,89073,0
3/8/2005,19.906,19.906,19.276,19.294,16835,0
3/9/2005,19.16,19.957,19.136,19.169,58496,0
3/10/2005,19.143,19.711,18.895,18.939,78447,0
3/11/2005,19.024,19.583,18.989,19.007,51405,0
3/14/2005,19.525,19.525,18.745,18.794,55987,0
3/15/2005,18.395,18.674,18.395,18.465,44697,0
3/16/2005,18.285,18.507,18.285,18.446,174635,0
3/17/2005,18.446,18.71,18.446,18.71,18494,0
3/18/2005,19.109,19.109,18.529,18.581,26093,0
3/21/2005,19.151,19.151,18.361,18.522,481290,0
3/22/2005,18.473,18.498,18.106,18.131,119094,0
3/23/2005,18.013,18.013,17.732,17.802,44593,0
3/24/2005,17.621,17.989,17.418,17.936,48712,0
3/28/2005,17.51,17.971,17.51,17.851,17112,0
3/29/2005,17.833,17.833,17.418,17.418,30037,0
3/30/2005,17.374,17.766,17.374,17.759,63061,0
3/31/2005,18.522,18.522,17.427,17.996,19023,0
4/1/2005,18.547,18.547,17.927,18.157,39908,0
4/4/2005,18.089,18.089,18.03,18.081,78638,0
4/5/2005,18.064,18.201,18.064,18.089,23397,0
4/6/2005,18.446,18.446,18.166,18.192,80640,0
4/7/2005,18.947,18.947,18.14,18.192,43061,0
4/8/2005,17.843,18.277,17.843,18.183,37580,0
4/11/2005,17.851,18.157,17.851,18.089,45434,0
4/12/2005,17.868,18.261,17.868,18.089,27335,0
4/13/2005,18.353,18.353,17.9,17.945,7214,0
4/14/2005,17.749,17.749,17.46,17.46,57189,0
4/15/2005,17.409,17.673,17.096,17.104,34952,0
4/18/2005,17.053,17.196,16.848,17.161,53357,0
4/19/2005,17.145,17.494,17.145,17.494,8229,0
4/20/2005,17.621,17.621,17.24,17.24,9875,0
4/21/2005,17.452,17.646,17.4,17.646,15130,0
4/22/2005,17.833,17.833,17.434,17.434,12429,0
4/25/2005,17.383,17.732,17.383,17.732,19052,0
4/26/2005,17.81,17.9,17.732,17.802,46995,0
4/27/2005,17.962,17.962,17.443,17.494,31331,0
4/28/2005,17.443,17.443,17.188,17.213,120716,0
4/29/2005,17.196,17.452,17.196,17.409,7654,0
5/2/2005,17.613,17.613,17.4,17.51,24589,0
5/3/2005,17.673,17.673,17.46,17.501,21035,0
5/4/2005,17.35,17.989,17.35,17.989,21622,0
5/5/2005,18.039,18.183,18.004,18.089,13719,0
5/6/2005,18.234,18.244,18.14,18.183,14216,0
5/9/2005,18.277,18.277,18.131,18.253,58339,0
5/10/2005,18.261,18.261,17.917,17.917,39434,0
5/11/2005,18.039,18.039,17.724,17.936,20723,0
5/12/2005,17.749,17.908,17.579,17.595,16411,0
5/13/2005,17.621,17.664,17.51,17.563,5831,0
5/16/2005,17.205,17.697,17.205,17.697,46915,0
5/17/2005,18.261,18.261,17.571,17.766,18504,0
5/18/2005,17.917,18.174,17.908,18.174,26679,0
5/19/2005,18.115,18.345,18.115,18.327,248658,0
5/20/2005,18.361,18.361,18.192,18.309,24129,0
5/23/2005,18.446,18.446,17.621,18.336,21580,0
5/24/2005,18.317,18.437,18.277,18.437,12783,0
5/25/2005,18.489,18.489,18.3,18.353,20222,0
5/26/2005,18.489,18.572,18.048,18.564,41057,0
5/27/2005,18.608,18.729,18.608,18.729,18784,0
5/31/2005,18.829,18.955,18.589,18.692,32517,0
6/1/2005,18.616,18.862,18.616,18.862,18902,0
6/2/2005,18.862,18.964,18.862,18.955,37075,0
6/3/2005,19.056,19.056,18.922,18.939,22621,0
6/6/2005,19.082,19.082,18.682,18.914,17973,0
6/7/2005,18.87,18.947,18.794,18.794,15711,0
6/8/2005,18.93,18.947,18.895,18.895,3856,0
6/9/2005,18.998,18.998,18.652,18.794,44263,0
6/10/2005,19.015,19.015,18.914,18.914,10219,0
6/13/2005,18.972,19.1,18.914,19.091,51971,0
6/14/2005,19.015,19.203,19.007,19.203,18490,0
6/15/2005,19.024,19.276,19.024,19.276,6568,0
6/16/2005,19.32,19.542,19.32,19.542,17353,0
6/17/2005,20.383,20.383,19.49,19.583,47031,0
6/20/2005,19.957,19.957,19.218,19.507,25342,0
6/21/2005,19.677,19.677,19.38,19.407,30891,0
6/22/2005,19.268,19.575,19.024,19.471,33808,0
6/23/2005,19.906,19.906,18.682,19.261,33335,0
6/24/2005,19.109,19.44,19.082,19.127,37023,0
6/27/2005,18.616,19.336,18.616,19.32,34883,0
6/28/2005,19.16,19.49,19.16,19.471,16098,0
6/29/2005,19.464,19.464,19.38,19.457,18816,0
6/30/2005,19.85,19.85,19.432,19.432,26346,0
7/1/2005,19.389,19.559,19.389,19.49,16486,0
7/5/2005,19.695,19.695,19.354,19.49,24867,0
7/6/2005,19.218,19.542,19.218,19.49,11932,0
7/7/2005,19.203,19.432,19.169,19.407,25558,0
7/8/2005,21.069,21.069,19.498,19.609,45909,0
7/11/2005,19.805,19.898,19.754,19.841,57526,0
7/12/2005,20.018,20.018,19.865,19.966,18004,0
7/13/2005,19.976,20.027,19.966,19.999,18726,0
